,rf_RMSE,rf_MSE,lr_RMSE,lr_MSE,hyperparams,Time
0,0.5785369455823643,0.3347049974037716,0.45745539045582934,0.20926543425709526,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",195.03433442115784
1,0.7049597168584822,0.4969682023931915,0.4430467485082078,0.19629042136369512,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 300}",196.17457556724548
2,0.5262351042027167,0.27692338489524404,0.46809719279257433,0.21911498190028852,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 1200}",198.37791991233826
3,0.6464787104073311,0.4179347230099258,0.38155273874146883,0.14558249244111557,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",195.50297141075134
4,0.5950743838825642,0.3541135223532133,0.4640873925347747,0.21537710790972606,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",195.69023966789246
5,0.6655004551733101,0.44289085583588295,0.4615899120168452,0.2130652468757189,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",195.37784361839294
6,0.6404746343727167,0.41020775727486514,0.4242787625536535,0.18001246835405946,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",195.09649634361267
7,0.7578645333373651,0.5743586508906622,0.48802901818686,0.23817232259243054,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",196.2840256690979
8,0.6914426649681362,0.4780929589382382,0.4316017863810425,0.18628010200730705,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",195.45631527900696
9,0.7775376384179038,0.604564779156491,0.4595246647802567,0.2111629175414073,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",195.5961790084839
10,0.5655290413699646,0.3198230966328312,0.37130893249021785,0.13787032334702515,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",195.22131633758545
11,0.6294216276068915,0.3961715852993083,0.3965378317736551,0.1572422520277516,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 300}",196.049574136734
12,0.6887190801073814,0.47433397130395766,0.3848615006039396,0.1481183746471162,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",195.61209416389465
13,0.6374603340423196,0.40635567747734563,0.5266049953277351,0.2773128211041239,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",196.14322662353516
14,0.6817170508690623,0.4647381374456117,0.44767024300654784,0.2004086464735416,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 300}",195.6901981830597
15,0.7930274811278204,0.6288925858239356,0.5038978410381074,0.2539130342028658,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",195.36197066307068
16,0.7839313559357944,0.6145483708193332,0.46092313373755045,0.21245013521444384,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",195.00277137756348
17,0.6072947674077847,0.3688069345208752,0.5722000999485866,0.32741295438117246,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",195.59633111953735
18,0.591619343794803,0.35001344795219325,0.4596507859034394,0.21127884498164948,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",195.48690748214722
19,0.7496776554306942,0.5620165870520626,0.3587921867555597,0.12873183327683643,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",195.70565629005432
20,0.6723457533324517,0.45204881202418196,0.3935682084862183,0.1548959347310514,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",194.89319920539856
21,0.606607954695022,0.36797321069927785,0.4376472042326527,0.1915350753726572,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",195.39318203926086
22,0.7555179505756507,0.5708073736420314,0.4554576519371443,0.2074416727080969,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",195.62752842903137
23,0.5810710322049065,0.3376435444676755,0.4276489508162063,0.18288362513420203,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 600}",196.58094000816345
24,0.7277888399271408,0.5296765955224934,0.3923537741945775,0.15394148412472952,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",195.36165809631348
25,0.7762536668813739,0.6025697553467789,0.4519198794958827,0.20423157748357315,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 300}",195.7835841178894
26,0.6649336403228819,0.4421367460330397,0.4733243522740271,0.2240359424556273,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 1200}",198.21004152297974
27,0.6327366359423785,0.400355650463678,0.40814431180542127,0.16658177925912093,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",195.13885807991028
28,0.6140395586853298,0.3770445796304745,0.3618013168810412,0.1309001928968556,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 600}",196.3460178375244
29,0.7711200577353168,0.5946261434417183,0.4214013682238182,0.177579113140906,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 600}",196.47118997573853
30,0.5788283094544282,0.33504221182587124,0.38621031701103126,0.14915840896576124,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",195.22150921821594
31,0.6099463058986752,0.3720344960794402,0.4307217893407879,0.1855212598129301,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 600}",196.37704181671143
32,0.617976358518915,0.38189477968829855,0.43917227945280113,0.19287229103976924,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 300}",195.72121953964233
