,Method,MSE
185,Linear Regression,0.33356252259582736
186,Linear Regression,0.21421389915788627
187,Linear Regression,0.16341504270963914
188,Linear Regression,0.2529211108774306
189,Linear Regression,0.17964778084189215
190,Linear Regression,0.296729033144387
191,Linear Regression,0.420739643428474
192,Linear Regression,0.4559156986217124
193,Linear Regression,0.4220343571376217
194,Linear Regression,0.38703565454437
195,Linear Regression,0.3203852420461056
196,Linear Regression,0.3002251430576856
197,Linear Regression,0.373020028597648
198,Linear Regression,0.36457623643684367
199,Linear Regression,0.43569103011451077
200,Linear Regression,0.47367527542914073
201,Linear Regression,0.3104465666614211
202,Linear Regression,0.2630244336859681
203,Linear Regression,0.11106539357439393
204,Linear Regression,0.21439194130804165
205,Linear Regression,0.535383404667798
206,Linear Regression,0.32772666174898135
207,Linear Regression,0.24989645646101968
208,Linear Regression,0.27419178572208575
209,Linear Regression,0.2260038699757805
210,Linear Regression,0.4251659632430444
211,Linear Regression,0.36243750043374995
212,Linear Regression,0.34039175241654185
213,Linear Regression,0.26666982723894467
214,Linear Regression,0.2557911198546002
215,Linear Regression,0.30081164055528853
216,Linear Regression,0.19246771162014642
217,Linear Regression,0.4605987222417262
218,Linear Regression,0.1946039402716666
219,Linear Regression,0.3737693878703093
220,Linear Regression,0.30574086594434036
221,Linear Regression,0.3203659372060393
222,Linear Regression,0.39289024275456397
223,Linear Regression,0.14536289443182437
224,Linear Regression,0.2360805374047156
225,Linear Regression,0.23114391011016963
226,Linear Regression,0.16193336519829218
227,Linear Regression,0.40868502597192036
228,Linear Regression,0.2644770673676855
229,Linear Regression,0.2595832455957376
230,Linear Regression,0.2127644556401399
231,Linear Regression,0.8982774721261274
232,Linear Regression,0.4379137270928209
233,Linear Regression,0.7332059838617354
234,Linear Regression,0.23283628961437622
235,Linear Regression,0.207321254996096
236,Linear Regression,0.24480338854134165
237,Linear Regression,0.22873921973596736
238,Linear Regression,0.5942739498394501
239,Linear Regression,0.40160720887626705
240,Linear Regression,0.4383957316104386
241,Linear Regression,0.22886864400731308
242,Linear Regression,0.16512504063516925
243,Linear Regression,0.4060230545327203
