,rf_RMSE,rf_MSE,lr_RMSE,lr_MSE,Time,Size,hyperparams
0,1.0008917706705056,1.0017843365959398,1.5469795519155798,2.393145734044928,1.1251277923583984,20,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
1,0.8069574596529365,0.6511803416895208,1.0527362584523805,1.1082536298603174,1.0938084125518799,25,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
2,0.5135055881945327,0.263687989107013,2.8409068911725113,8.070751964311462,1.0938093662261963,30,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
3,0.858883429520121,0.7376807455042446,1.3919546218612115,1.9375376693207882,1.1093907356262207,35,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
4,0.912655865211415,0.8329407283047965,1.9869788867884925,3.948085096543237,1.1095118522644043,40,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
5,0.6773293881244996,0.458775100017109,1.0187071921484665,1.0377643433350128,1.1250462532043457,45,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
6,1.0691911863771966,1.143169793026677,1.2520594709155781,1.5676529187093973,1.1406102180480957,50,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
7,0.8110881607960251,0.6578640045834786,1.1193831931600546,1.2530187331292004,1.1512248516082764,55,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
8,0.5960948142590463,0.3553290275865269,0.9808037316813395,0.9619759600800409,1.1718790531158447,60,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
9,0.9711259385764268,0.9430855885759459,1.271184042757073,1.6159088705602163,1.1875452995300293,65,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
10,0.7543793084125715,0.5690881409610297,1.0503117060687297,1.1031546799050056,1.1875524520874023,70,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
11,0.8444172076743777,0.7130404206165931,1.3100329818854124,1.7161864136275853,1.1879377365112305,75,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
12,0.9894963675473639,0.9791030613894279,5.014468546089375,25.144894799719694,1.2028181552886963,80,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
13,0.7639529313275399,0.5836240812839409,1.9976329165265574,3.9905372691903995,1.2032222747802734,85,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
14,0.7808757652342437,0.6097669607301657,1.615342307147612,2.60933076926097,1.2032053470611572,90,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
15,0.78098270793584,0.6099339900947977,1.3670295671881683,1.8687698375666704,1.218796968460083,95,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
16,0.8226073725996805,0.6766828894553496,0.8540647021529029,0.7294265154635267,1.234508752822876,100,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
17,0.7148175068878551,0.5109640681533687,0.7918607968126699,0.6270435215287964,1.2500317096710205,105,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
18,0.6675006880316198,0.4455571685226858,0.6468389452873992,0.41840062114051496,1.2656986713409424,110,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
19,0.5735612657026977,0.32897252551448064,0.5936051517381165,0.35236707617003227,1.2500972747802734,115,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
20,0.8726943301276955,0.7615953938370271,0.6846895101076957,0.46879972525151636,1.2660579681396484,120,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
21,1.4879046139229433,2.2138601401331828,1.5699778247331935,2.46483037015397,1.0777873992919922,20,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
22,0.5756394097951341,0.33136073010929024,1.0575460024925056,1.1184035473878788,1.0938611030578613,25,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
23,0.8159858542297836,0.6658329143031096,2.1222150542145846,4.503796736335013,1.0937824249267578,30,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
24,0.47043930017931396,0.22131313515320267,0.9995106172977896,0.9990214740910084,1.093761682510376,35,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
25,0.6467555617967605,0.4182927567150433,0.7221778610597858,0.5215408630048872,1.1095092296600342,40,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
26,1.0317407047971474,1.0644888819353144,0.7050020907672959,0.4970279479862585,1.1250269412994385,45,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
27,0.9498319168710775,0.9021806703069855,1.390669623592478,1.9339620019828447,1.1406993865966797,50,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}"
