,Size,Method,MSE
168,20,Random Forest,0.861516501514851
169,25,Random Forest,0.25210491539953234
170,30,Random Forest,0.6131064170594268
171,35,Random Forest,0.8398250426140602
172,40,Random Forest,0.4528138918703185
173,45,Random Forest,0.9121487189340234
174,50,Random Forest,1.0485875656893502
175,55,Random Forest,0.5015396718106773
176,60,Random Forest,0.6157637529169502
177,65,Random Forest,0.40740925490766244
178,70,Random Forest,0.35241990291711883
179,75,Random Forest,0.6369790378460594
180,80,Random Forest,0.4544479283118958
181,85,Random Forest,0.6113886637271425
182,90,Random Forest,0.39556254134582913
183,95,Random Forest,0.4389979663872906
184,100,Random Forest,0.46418982962895605
185,105,Random Forest,0.533235118819066
186,110,Random Forest,0.5739142848104656
187,115,Random Forest,0.5384743424947901
188,120,Random Forest,0.636205427070419
189,20,Random Forest,1.0948011792387207
190,25,Random Forest,0.6440115917571012
191,30,Random Forest,0.7806795990357692
192,35,Random Forest,0.6999200007625876
193,40,Random Forest,0.5622933816290356
194,45,Random Forest,0.5898292039965436
195,50,Random Forest,1.0209042687027934
196,55,Random Forest,0.7643738278781441
197,60,Random Forest,0.47074875887005785
198,65,Random Forest,0.7884866759703708
199,70,Random Forest,0.4874365806846587
200,75,Random Forest,0.622735195227415
201,80,Random Forest,0.916360638620393
202,85,Random Forest,0.568989340356245
203,90,Random Forest,0.5912516897981951
204,95,Random Forest,0.431359910431148
205,100,Random Forest,0.728577283637192
206,105,Random Forest,0.8734565755860654
207,110,Random Forest,0.5565358897966111
208,115,Random Forest,0.5406432034599156
209,120,Random Forest,0.3562584383750797
210,20,Random Forest,0.34314006376209766
211,25,Random Forest,0.6467039145564943
212,30,Random Forest,1.2878003976758128
213,35,Random Forest,0.7711419303566939
214,40,Random Forest,0.7596758581003691
215,45,Random Forest,0.8384732398740962
216,50,Random Forest,0.9600287198594755
217,55,Random Forest,0.7506563380279787
218,60,Random Forest,0.8819914097857294
219,65,Random Forest,0.4112753674655564
220,70,Random Forest,0.504205343629004
221,75,Random Forest,0.4814950966619527
222,80,Random Forest,0.4601596775795799
223,85,Random Forest,0.5234591723561559
224,90,Random Forest,0.6018290895332769
225,95,Random Forest,0.8388896776378301
226,100,Random Forest,0.3847141197139875
227,105,Random Forest,0.5846010269549005
228,110,Random Forest,0.6021291919619814
229,115,Random Forest,0.5762916016206501
230,120,Random Forest,0.5948521730842053
231,20,Random Forest,1.2443133306511418
232,25,Random Forest,0.8062096093032528
233,30,Random Forest,0.6496725139408123
234,35,Random Forest,0.596542699725869
235,40,Random Forest,0.6280363680895371
236,45,Random Forest,0.748179765039585
237,50,Random Forest,0.46684320130786156
238,55,Random Forest,0.9079550763490786
239,60,Random Forest,0.7815014294195578
240,65,Random Forest,0.7283886535663845
241,70,Random Forest,0.4664652366024216
242,75,Random Forest,0.5781361835862123
243,80,Random Forest,0.9647442565156966
244,85,Random Forest,0.6167697613070997
245,90,Random Forest,0.577329567905533
246,95,Random Forest,0.5285572749928606
247,100,Random Forest,0.5213454434069132
248,105,Random Forest,0.6841808492658668
249,110,Random Forest,0.5154960635140625
250,115,Random Forest,0.5300343173492407
251,120,Random Forest,0.36671875730639164
252,20,Random Forest,0.4892160790485993
253,25,Random Forest,0.7198105115506438
254,30,Random Forest,0.5095531300446543
255,35,Random Forest,0.952112984995682
256,40,Random Forest,0.26241813350113674
257,45,Random Forest,0.47308593501978435
258,50,Random Forest,0.5356773811192401
259,55,Random Forest,0.939596868632556
260,60,Random Forest,0.9884332927099354
261,65,Random Forest,0.7275440136590051
262,70,Random Forest,0.5204557237832107
263,75,Random Forest,0.7485832951721005
264,80,Random Forest,0.8313655793133772
265,85,Random Forest,0.7842118689490645
266,90,Random Forest,0.4911821127531234
267,95,Random Forest,0.4223139968287738
268,100,Random Forest,0.4683163588047131
269,105,Random Forest,0.6738575222453365
270,110,Random Forest,0.5434004617918079
271,115,Random Forest,0.5720976039974888
272,120,Random Forest,0.47652029309403493
273,20,Random Forest,2.0616437209368703
274,25,Random Forest,1.3540754709601122
275,30,Random Forest,0.4684112130130144
276,35,Random Forest,0.6777763365507391
277,40,Random Forest,1.1419678676116396
278,45,Random Forest,0.18029304667084753
279,50,Random Forest,0.5367766190024822
280,55,Random Forest,0.5325703485808982
281,60,Random Forest,0.9080642133096117
282,65,Random Forest,0.4275623085871553
283,70,Random Forest,0.5635373812808352
284,75,Random Forest,0.6530245949539436
285,80,Random Forest,0.6094337688603798
286,85,Random Forest,0.6342144549787625
287,90,Random Forest,0.6497208084070094
288,95,Random Forest,0.39000128113488247
289,100,Random Forest,0.580065709551712
