,Size,Method,MSE
168,20,Random Forest,0.1132327364820219
169,25,Random Forest,0.1721195285530257
170,30,Random Forest,0.20357281391206059
171,35,Random Forest,0.1652382372299972
172,40,Random Forest,0.294062310217609
173,45,Random Forest,0.08429077145508572
174,50,Random Forest,0.12754722767300644
175,55,Random Forest,0.13080860547800235
176,60,Random Forest,0.09031160546214519
177,65,Random Forest,0.08188072083270542
178,70,Random Forest,0.1905107359065357
179,75,Random Forest,0.05966983816099317
180,80,Random Forest,0.1044388215736813
181,85,Random Forest,0.10709978437450153
182,90,Random Forest,0.1066124002893603
183,95,Random Forest,0.1460788021558701
184,100,Random Forest,0.09633873386200253
185,105,Random Forest,0.0671638665834218
186,110,Random Forest,0.06909435407452023
187,115,Random Forest,0.06787473963121031
188,120,Random Forest,0.10067788869880683
189,20,Random Forest,1.0208613713841086
190,25,Random Forest,0.1846258394358061
191,30,Random Forest,0.5196960645164106
192,35,Random Forest,0.1366187196820983
193,40,Random Forest,0.08344951952718951
194,45,Random Forest,0.24297405513730272
195,50,Random Forest,0.3761621341638133
196,55,Random Forest,0.16903704102074332
197,60,Random Forest,0.08803853322360451
198,65,Random Forest,0.07667173447569299
199,70,Random Forest,0.0800132193418183
200,75,Random Forest,0.09125695924085382
201,80,Random Forest,0.0980909844644879
202,85,Random Forest,0.08195154440290296
203,90,Random Forest,0.08900432405626349
204,95,Random Forest,0.08800220553118338
205,100,Random Forest,0.11188691471093533
206,105,Random Forest,0.0635209973726117
207,110,Random Forest,0.14938630444959455
208,115,Random Forest,0.08613351122802855
209,120,Random Forest,0.11929402071247704
210,20,Random Forest,0.27207305363965795
211,25,Random Forest,0.1652666742612084
212,30,Random Forest,0.16297708997934127
213,35,Random Forest,0.0813285596398399
214,40,Random Forest,0.14149551525208015
215,45,Random Forest,0.22208752832368794
216,50,Random Forest,0.15959622062820483
217,55,Random Forest,0.16485899713637545
218,60,Random Forest,0.09229209781237109
219,65,Random Forest,0.13095832650106612
220,70,Random Forest,0.1334375984281889
221,75,Random Forest,0.06686439993710856
222,80,Random Forest,0.13652258298059072
223,85,Random Forest,0.11893912578715293
224,90,Random Forest,0.1299907088109997
225,95,Random Forest,0.08770718021991376
226,100,Random Forest,0.1372797973502598
227,105,Random Forest,0.0676335378605897
228,110,Random Forest,0.15578369248315918
229,115,Random Forest,0.09427137117041193
230,120,Random Forest,0.16315314604404677
231,20,Random Forest,0.13706228949154362
232,25,Random Forest,0.13916841125792528
233,30,Random Forest,0.16489636920087836
234,35,Random Forest,0.17075955455810407
235,40,Random Forest,0.320076035162167
236,45,Random Forest,0.2619426138003987
237,50,Random Forest,0.08412152055906161
238,55,Random Forest,0.23083080946702228
239,60,Random Forest,0.1379265502802761
240,65,Random Forest,0.14835534639335898
241,70,Random Forest,0.20137009245265455
242,75,Random Forest,0.2853199943923157
243,80,Random Forest,0.15148748270100904
244,85,Random Forest,0.10662036264527994
245,90,Random Forest,0.16924707979434708
246,95,Random Forest,0.11330968674699538
247,100,Random Forest,0.07095451771187933
248,105,Random Forest,0.08988459913392444
249,110,Random Forest,0.09394572754796392
250,115,Random Forest,0.11309841093955889
251,120,Random Forest,0.12252534368397765
252,20,Random Forest,0.16633220667506385
253,25,Random Forest,0.391551350758064
254,30,Random Forest,0.2113890233257265
255,35,Random Forest,0.35614377893117777
256,40,Random Forest,0.1612276263893634
257,45,Random Forest,0.1635253427299176
258,50,Random Forest,0.14095231069564151
259,55,Random Forest,0.1400137377802502
260,60,Random Forest,0.2245437555511567
261,65,Random Forest,0.1682292732967481
262,70,Random Forest,0.154569295918176
263,75,Random Forest,0.13090795486914528
264,80,Random Forest,0.12475971886396026
265,85,Random Forest,0.06335228434701856
266,90,Random Forest,0.10799440627068245
267,95,Random Forest,0.08225221291587599
268,100,Random Forest,0.07612779470231609
269,105,Random Forest,0.04563712798666978
270,110,Random Forest,0.12132853937256614
271,115,Random Forest,0.1377904440457329
272,120,Random Forest,0.16341812358272292
273,20,Random Forest,0.013655863999369404
274,25,Random Forest,0.16367561854325643
275,30,Random Forest,0.05101922536911904
276,35,Random Forest,0.19556649545317972
277,40,Random Forest,0.048891454356958935
278,45,Random Forest,0.09249107252952093
279,50,Random Forest,0.0726146977503155
280,55,Random Forest,0.20414512224938378
281,60,Random Forest,0.06187328732381372
282,65,Random Forest,0.11379174728327657
283,70,Random Forest,0.1136806229995532
284,75,Random Forest,0.10376088622237264
285,80,Random Forest,0.12579651706381717
286,85,Random Forest,0.10822606723206671
287,90,Random Forest,0.11288691468482642
288,95,Random Forest,0.06617227733785566
289,100,Random Forest,0.10282716943065488
290,105,Random Forest,0.10304584072524439
291,110,Random Forest,0.085651762260405
292,115,Random Forest,0.07943187393575342
293,120,Random Forest,0.08747913582907535
294,20,Random Forest,0.18916816978156503
295,25,Random Forest,0.3770195098187371
296,30,Random Forest,0.21188123513481624
297,35,Random Forest,0.07935158275046983
298,40,Random Forest,0.16241662291948739
299,45,Random Forest,0.11811257018579863
300,50,Random Forest,0.23484988424175107
301,55,Random Forest,0.15091947643137044
302,60,Random Forest,0.17368324409809544
303,65,Random Forest,0.18306884889748176
304,70,Random Forest,0.05088724299324786
305,75,Random Forest,0.09317559707303151
306,80,Random Forest,0.15375504666734896
307,85,Random Forest,0.12417616181980448
308,90,Random Forest,0.12139044800405879
309,95,Random Forest,0.07631357072475574
310,100,Random Forest,0.09164746580596646
311,105,Random Forest,0.10361328834988455
312,110,Random Forest,0.07961746055657527
313,115,Random Forest,0.06465592828583233
314,120,Random Forest,0.059882948306656913
315,20,Random Forest,0.15061445558485545
316,25,Random Forest,0.13198991842589
317,30,Random Forest,0.14810226618303793
318,35,Random Forest,0.17081816630890148
319,40,Random Forest,0.1627734498807783
320,45,Random Forest,0.3386628692429324
321,50,Random Forest,0.09998593710828188
322,55,Random Forest,0.08899576187956436
323,60,Random Forest,0.12765631116715984
324,65,Random Forest,0.14387934411759246
325,70,Random Forest,0.1854169478993446
326,75,Random Forest,0.17648585883566298
327,80,Random Forest,0.15539542315717714
328,85,Random Forest,0.09217227048138812
329,90,Random Forest,0.0808204872089796
330,95,Random Forest,0.10368624042618392
331,100,Random Forest,0.12408902475801935
332,105,Random Forest,0.09915584487308812
333,110,Random Forest,0.12890086209411494
334,115,Random Forest,0.07092153785582889
335,120,Random Forest,0.1293462704600036
336,20,Random Forest,0.2404750966927747
337,25,Random Forest,0.29505575881814367
338,30,Random Forest,0.10178791240812561
339,35,Random Forest,0.17311827271770958
340,40,Random Forest,0.24288716640093658
341,45,Random Forest,0.17033448845874943
342,50,Random Forest,0.12969036134282097
343,55,Random Forest,0.07796123014332192
344,60,Random Forest,0.08757942102695397
345,65,Random Forest,0.20822913098146503
346,70,Random Forest,0.054348182962639345
347,75,Random Forest,0.10677096161970406
348,80,Random Forest,0.09351860158114184
349,85,Random Forest,0.1161892919872734
350,90,Random Forest,0.07131151284132711
351,95,Random Forest,0.13403823657141348
352,100,Random Forest,0.09135527352695053
353,105,Random Forest,0.048430452833843105
354,110,Random Forest,0.057813810531583326
355,115,Random Forest,0.08539874628142734
356,120,Random Forest,0.11721816837488026
357,20,Random Forest,0.10437855660663234
358,25,Random Forest,0.03392697106366725
359,30,Random Forest,0.3098791418152283
360,35,Random Forest,0.12006484256376444
361,40,Random Forest,0.045982326158583824
362,45,Random Forest,0.2028626008162269
363,50,Random Forest,0.3367238668711975
364,55,Random Forest,0.08862825945630404
365,60,Random Forest,0.1393667858513237
366,65,Random Forest,0.14266518226634817
367,70,Random Forest,0.10713231245754631
368,75,Random Forest,0.1392959144264024
369,80,Random Forest,0.14388348208771468
370,85,Random Forest,0.11515762036623504
371,90,Random Forest,0.13997960307318716
372,95,Random Forest,0.10454583200815361
373,100,Random Forest,0.0621522303461222
374,105,Random Forest,0.1888420212628749
375,110,Random Forest,0.13403932920379588
376,115,Random Forest,0.09715848556098203
377,120,Random Forest,0.09500972371215526
378,20,Random Forest,0.28040609471140576
379,25,Random Forest,0.10763862275828182
380,30,Random Forest,0.04858545487039695
381,35,Random Forest,0.07764326979372256
382,40,Random Forest,0.1351100071139816
383,45,Random Forest,0.19698282450681148
384,50,Random Forest,0.292928729203888
385,55,Random Forest,0.11447319348415091
386,60,Random Forest,0.2279066157221934
387,65,Random Forest,0.05693996485340088
388,70,Random Forest,0.08963887736024963
389,75,Random Forest,0.17204816463835196
390,80,Random Forest,0.1742008799629285
391,85,Random Forest,0.079569375875993
392,90,Random Forest,0.11055030697189902
393,95,Random Forest,0.17193213278609704
394,100,Random Forest,0.12619230954946145
395,105,Random Forest,0.13366574614408067
396,110,Random Forest,0.1059138647740074
397,115,Random Forest,0.122702265741267
398,120,Random Forest,0.11502097600174731
399,20,Random Forest,0.11177376273874479
400,25,Random Forest,0.0846429914642648
401,30,Random Forest,0.09591257014846648
402,35,Random Forest,0.13760400652931715
403,40,Random Forest,0.12052092031724641
404,45,Random Forest,0.12239705189509073
405,50,Random Forest,0.14600822067995334
406,55,Random Forest,0.12178374284389189
407,60,Random Forest,0.2062478938341695
408,65,Random Forest,0.08831301728257876
409,70,Random Forest,0.157583725945941
410,75,Random Forest,0.041751027554176805
411,80,Random Forest,0.12196977910174739
412,85,Random Forest,0.07509987167682675
413,90,Random Forest,0.15493535885234822
414,95,Random Forest,0.09142656917220247
415,100,Random Forest,0.09997233344096701
416,105,Random Forest,0.13740013190484263
417,110,Random Forest,0.06958282621952148
418,115,Random Forest,0.07145563365699972
419,120,Random Forest,0.0885824527389143
420,20,Random Forest,0.19228739739503303
421,25,Random Forest,0.1548651075404561
422,30,Random Forest,0.13918232522510873
423,35,Random Forest,0.20423119643488835
424,40,Random Forest,0.0875814977983155
425,45,Random Forest,0.27433904564533024
426,50,Random Forest,0.12068216062340073
427,55,Random Forest,0.16972996234759516
428,60,Random Forest,0.13124129366411227
429,65,Random Forest,0.13002983294192866
430,70,Random Forest,0.07012747153979619
431,75,Random Forest,0.10985813796338552
432,80,Random Forest,0.09170847346450592
433,85,Random Forest,0.13518903347159827
434,90,Random Forest,0.12543522948700808
435,95,Random Forest,0.06867032325570441
436,100,Random Forest,0.1312620678771232
437,105,Random Forest,0.12456173668467908
438,110,Random Forest,0.09597613538168553
439,115,Random Forest,0.12302231087288393
440,120,Random Forest,0.10875729074790867
441,20,Random Forest,0.3627148636497384
442,25,Random Forest,0.20264783461395686
443,30,Random Forest,0.22164658758900832
444,35,Random Forest,0.12517837071921262
445,40,Random Forest,0.16266309719871375
446,45,Random Forest,0.24903130854686076
447,50,Random Forest,0.06570027802636376
448,55,Random Forest,0.05128026178868566
449,60,Random Forest,0.15130794191361702
450,65,Random Forest,0.1976813638788199
451,70,Random Forest,0.12438646768178636
452,75,Random Forest,0.13693974806037063
453,80,Random Forest,0.1521274358106376
454,85,Random Forest,0.08275648102156248
455,90,Random Forest,0.12397991007064744
456,95,Random Forest,0.16377280609154113
457,100,Random Forest,0.07868568444341877
458,105,Random Forest,0.1567262979344236
459,110,Random Forest,0.11452934552900529
460,115,Random Forest,0.07759168398948936
461,120,Random Forest,0.1145481742817558
462,20,Random Forest,0.4667499322554619
463,25,Random Forest,0.25569525461791365
464,30,Random Forest,0.07538568375701751
465,35,Random Forest,0.14176480762521199
466,40,Random Forest,0.1366079167251686
467,45,Random Forest,0.13241624950449327
468,50,Random Forest,0.16378633578529925
469,55,Random Forest,0.14330987975856763
470,60,Random Forest,0.13500639151774854
471,65,Random Forest,0.14490976477659198
472,70,Random Forest,0.11691158554906374
473,75,Random Forest,0.06987878165373919
474,80,Random Forest,0.10801070458838724
475,85,Random Forest,0.10555755630867725
476,90,Random Forest,0.09471566468657544
477,95,Random Forest,0.06455997238673665
478,100,Random Forest,0.07898270440317987
479,105,Random Forest,0.09671823963113677
480,110,Random Forest,0.10732679088932531
481,115,Random Forest,0.14306798510837765
482,120,Random Forest,0.14298125403591752
483,20,Random Forest,0.1748704582765698
484,25,Random Forest,0.07130657070037656
485,30,Random Forest,0.20523819259342432
486,35,Random Forest,0.08893627630324179
487,40,Random Forest,0.13865361074664295
488,45,Random Forest,0.19491015095570963
489,50,Random Forest,0.2442151025920643
490,55,Random Forest,0.17861850133112162
491,60,Random Forest,0.10543515740496333
492,65,Random Forest,0.10356110090388192
493,70,Random Forest,0.1942412828784205
494,75,Random Forest,0.14586818017413322
495,80,Random Forest,0.20056543175633462
496,85,Random Forest,0.07161251394882924
497,90,Random Forest,0.13148429673469705
498,95,Random Forest,0.1150432288492305
499,100,Random Forest,0.14352899211760767
500,105,Random Forest,0.09650885109556936
501,110,Random Forest,0.09912939270136306
502,115,Random Forest,0.14154205364800895
503,120,Random Forest,0.08829662857177895
504,20,Random Forest,0.21608319313714378
505,25,Random Forest,0.15774402347096422
506,30,Random Forest,0.15015411523429797
507,35,Random Forest,0.29079647352233273
508,40,Random Forest,0.25356534191327557
509,45,Random Forest,0.12698054080918525
510,50,Random Forest,0.16536146635493537
511,55,Random Forest,0.1695275453669943
512,60,Random Forest,0.06410911781275559
513,65,Random Forest,0.07800884528484966
514,70,Random Forest,0.10839273075699067
515,75,Random Forest,0.10875394745158107
516,80,Random Forest,0.07238485711149917
517,85,Random Forest,0.24227316538669363
518,90,Random Forest,0.07338933702919943
519,95,Random Forest,0.16528573615333655
520,100,Random Forest,0.14078365883157135
521,105,Random Forest,0.14105677309942413
522,110,Random Forest,0.030661532915237873
523,115,Random Forest,0.11456247044199172
524,120,Random Forest,0.1186611901437045
525,20,Random Forest,0.29083004429225123
526,25,Random Forest,0.0767646537423469
527,30,Random Forest,0.11619888604685086
528,35,Random Forest,0.07349212034650847
529,40,Random Forest,0.07836938776487418
530,45,Random Forest,0.17180089153125186
531,50,Random Forest,0.0931436464364278
532,55,Random Forest,0.08910340193276535
533,60,Random Forest,0.1547834130469917
534,65,Random Forest,0.07863723811744511
535,70,Random Forest,0.0891681582292388
536,75,Random Forest,0.11110395483673165
537,80,Random Forest,0.06492806427646905
538,85,Random Forest,0.1974143997842696
539,90,Random Forest,0.07644947245581935
540,95,Random Forest,0.1168512563281822
541,100,Random Forest,0.07173344780855444
542,105,Random Forest,0.11632986860082799
