,rf_RMSE,rf_MSE,lr_RMSE,lr_MSE,Time,Size,hyperparams
0,0.43447790390717084,0.18877104898356878,0.9920238629838981,0.9841113447294958,1.0938379764556885,20,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
1,0.44419810775093316,0.19731195892950965,2.352368404029432,5.533637108275977,1.0936989784240723,25,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
2,0.4262081258013338,0.1816533664990856,2.1840875235815256,4.770238310664482,1.109435796737671,30,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
3,0.3047822144845477,0.09289219826610481,1.5720134272030717,2.4712262153067472,1.1094145774841309,35,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
4,0.3868109920074497,0.14962274353778732,0.6983066747610861,0.4876322120158853,1.140629529953003,40,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
5,0.2589304164148874,0.067044960544787,0.9617629545777757,0.9249879807981727,1.1250495910644531,45,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
6,0.2636840996169997,0.0695293043908278,0.7310360675762896,0.5344137320974054,1.1406793594360352,50,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
7,0.38497390764919387,0.14820490957069005,1.1596080880339332,1.3446909178337143,1.1482117176055908,55,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
8,0.3576214024689571,0.12789306750386378,1.6181484253034704,2.618404326312101,1.1600792407989502,60,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
9,0.2612259070888955,0.06823897453441627,0.7757104020375417,0.6017266278292446,1.173612356185913,65,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
10,0.34369348161831875,0.11812520930692161,1.4472813370576065,2.0946232685952535,1.1892406940460205,70,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
11,0.3961911786797216,0.15696745006362708,0.8633581765665469,0.7453873410443127,1.1874549388885498,75,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
12,0.2725229104066654,0.07426873669651937,4.248261500478333,18.047725776446413,1.2186789512634277,80,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
13,0.35917836535695685,0.12900909814049558,1.3911324797164966,1.9352495761221684,1.2343294620513916,85,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
14,0.2590790689766354,0.0671219639818002,3.005327914976324,9.031995876535937,1.2187297344207764,90,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
15,0.2867072994755505,0.082201075572563,0.4658766283099058,0.2170410328054061,1.251222848892212,95,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
16,0.26326974774795864,0.06931096007927379,0.8133484164757018,0.6615356465835316,1.2655525207519531,100,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
17,0.25576443248750474,0.06541544492565536,0.5661003159337503,0.32046956770029195,1.2656052112579346,105,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
18,0.2721128680315514,0.07404541294835651,0.7360283648658144,0.5417377538870444,1.2655775547027588,110,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
19,0.3207000554227215,0.10284852554813664,0.7058645386002138,0.49824474685329273,1.2655792236328125,115,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
20,0.31979480525091575,0.10226871746547113,0.5560936484212565,0.309240145814464,1.2656042575836182,120,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
21,0.5463828269997436,0.2985341936402317,1.1767499985325356,1.3847405590463226,1.078057050704956,20,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
22,0.540906096830696,0.29257940558861834,1.2070497879949755,1.4569691906987152,1.0781080722808838,25,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
23,0.5567894934834245,0.31001454005352846,0.9455159242205666,0.8940003629546722,1.0949747562408447,30,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
24,0.09887626925443009,0.009776516621674558,0.29437627511499803,0.086657391350581,1.0937082767486572,35,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
25,0.41182602642391697,0.16960067604011275,0.6030554838144999,0.36367591655874054,1.1093337535858154,40,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
26,0.2289088186712897,0.05239924726548539,0.756666952900539,0.5725448776117865,1.1253914833068848,45,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
27,0.37755651416158426,0.14254892138584657,1.2162836540029338,1.4793459269947287,1.1443326473236084,50,"{'bootstrap': True, 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}"
