,Method,MSE
133,Random Forest,0.5001969013648628
134,Random Forest,0.35623941969151296
135,Random Forest,0.561572183864959
136,Random Forest,0.3558145047956186
137,Random Forest,0.37076957104715824
138,Random Forest,0.4349621768609472
139,Random Forest,0.33844755261015375
140,Random Forest,0.49063922293362855
141,Random Forest,0.3700127442069797
142,Random Forest,0.5052606740522748
143,Random Forest,0.38182544523604517
144,Random Forest,0.5185440481805175
145,Random Forest,0.5239547817748307
146,Random Forest,0.37799922864937946
147,Random Forest,0.48391300826786665
148,Random Forest,0.46201924978907183
149,Random Forest,0.547054356105213
150,Linear Regression,0.20926543425709526
151,Linear Regression,0.19629042136369512
152,Linear Regression,0.21911498190028852
153,Linear Regression,0.14558249244111557
154,Linear Regression,0.21537710790972606
155,Linear Regression,0.2130652468757189
156,Linear Regression,0.18001246835405946
157,Linear Regression,0.23817232259243054
158,Linear Regression,0.18628010200730705
159,Linear Regression,0.2111629175414073
160,Linear Regression,0.13787032334702515
161,Linear Regression,0.1572422520277516
162,Linear Regression,0.1481183746471162
163,Linear Regression,0.2773128211041239
164,Linear Regression,0.2004086464735416
165,Linear Regression,0.2539130342028658
166,Linear Regression,0.21245013521444384
167,Linear Regression,0.32741295438117246
168,Linear Regression,0.21127884498164948
169,Linear Regression,0.12873183327683643
170,Linear Regression,0.1548959347310514
171,Linear Regression,0.1915350753726572
172,Linear Regression,0.2074416727080969
173,Linear Regression,0.18288362513420203
174,Linear Regression,0.15394148412472952
175,Linear Regression,0.20423157748357315
176,Linear Regression,0.2240359424556273
177,Linear Regression,0.16658177925912093
178,Linear Regression,0.1309001928968556
179,Linear Regression,0.177579113140906
180,Linear Regression,0.14915840896576124
181,Linear Regression,0.1855212598129301
182,Linear Regression,0.19287229103976924
183,Linear Regression,0.17838677388032517
184,Linear Regression,0.22824105088613472
185,Linear Regression,0.17426988939690585
186,Linear Regression,0.2664839736420306
187,Linear Regression,0.18970418943951717
188,Linear Regression,0.19058325024564962
189,Linear Regression,0.19832515918059884
190,Linear Regression,0.18288357531092989
191,Linear Regression,0.2333879532848877
192,Linear Regression,0.1573301341527301
193,Linear Regression,0.24018892645516643
194,Linear Regression,0.282118842466231
195,Linear Regression,0.3950867142876354
196,Linear Regression,0.17263560491773516
197,Linear Regression,0.20479327392965777
198,Linear Regression,0.2066226026986378
199,Linear Regression,0.21684232230206138
200,Linear Regression,0.343902142467278
201,Linear Regression,0.17779801461758965
202,Linear Regression,0.1905287615936384
203,Linear Regression,0.22562786495376885
204,Linear Regression,0.15785018968828757
205,Linear Regression,0.2517292538381296
206,Linear Regression,0.2833795105685086
207,Linear Regression,0.16024266346739857
208,Linear Regression,0.2307107496460326
209,Linear Regression,0.14941941380604842
210,Linear Regression,0.19923275638056753
211,Linear Regression,0.14552425256436372
212,Linear Regression,0.20291338338745754
213,Linear Regression,0.14553338739012878
214,Linear Regression,0.19580390914550438
215,Linear Regression,0.20706748379158268
216,Linear Regression,0.24497028237256763
217,Linear Regression,0.2083399089298151
218,Linear Regression,0.21812203963294982
219,Linear Regression,0.20560690284430136
220,Linear Regression,0.17098776334704127
221,Linear Regression,0.22464313528528077
222,Linear Regression,0.1582338721839137
223,Linear Regression,0.189306406604628
224,Linear Regression,0.18458303996043401
225,Linear Regression,0.11614461921636991
226,Linear Regression,0.14699118444648995
227,Linear Regression,0.24810503065867798
228,Linear Regression,0.24030656983630744
229,Linear Regression,0.13066302199911456
230,Linear Regression,0.2415825260227537
231,Linear Regression,0.21258349064533993
232,Linear Regression,0.21942350183046816
233,Linear Regression,0.17091460215314014
234,Linear Regression,0.2325505483052243
235,Linear Regression,0.18416173114774131
236,Linear Regression,0.24298840084818493
237,Linear Regression,0.13167375167023654
238,Linear Regression,0.1641956039802456
239,Linear Regression,0.11619945434909247
240,Linear Regression,0.16802987424767318
241,Linear Regression,0.1783880035426167
242,Linear Regression,0.1906036559173458
243,Linear Regression,0.3989557725468845
244,Linear Regression,0.24070203392062103
245,Linear Regression,0.1556779141285019
246,Linear Regression,0.18955861488576398
247,Linear Regression,0.21501075844108636
248,Linear Regression,0.2531975921378633
249,Linear Regression,0.26576585262542896
250,Linear Regression,0.1775996909907091
251,Linear Regression,0.1594900154152909
252,Linear Regression,0.22775600038540209
253,Linear Regression,0.2362537461077972
254,Linear Regression,0.20633783897483307
255,Linear Regression,0.15574238124335285
256,Linear Regression,0.24305311441599553
257,Linear Regression,0.17245932422947108
258,Linear Regression,0.25695124552926785
259,Linear Regression,0.2175612231685454
260,Linear Regression,0.21803347842398618
261,Linear Regression,0.24503952305715773
262,Linear Regression,0.21731271326723828
263,Linear Regression,0.2594095995506741
264,Linear Regression,0.3315775861626614
265,Linear Regression,0.19192761854342724
266,Linear Regression,0.24028322183703787
267,Linear Regression,0.2724547462161551
268,Linear Regression,0.2759855713981464
269,Linear Regression,0.20754931280738692
270,Linear Regression,0.11797826389328905
271,Linear Regression,0.21505451811719736
272,Linear Regression,0.18587164176948096
273,Linear Regression,0.23041210125646588
274,Linear Regression,0.23782400526392172
275,Linear Regression,0.27288181736475414
276,Linear Regression,0.16714564319862146
277,Linear Regression,0.3120112160554199
278,Linear Regression,0.2453678846325765
279,Linear Regression,0.15158013952369803
280,Linear Regression,0.2369786304236045
281,Linear Regression,0.16673466592115505
282,Linear Regression,0.3186982026984539
283,Linear Regression,0.31004161084186166
284,Linear Regression,0.26073287469468776
285,Linear Regression,0.17966565648236255
286,Linear Regression,0.2617308291839565
287,Linear Regression,0.23755210111014663
288,Linear Regression,0.2294393647405668
289,Linear Regression,0.15878731849630118
290,Linear Regression,0.18845244903999658
291,Linear Regression,0.23085514391733236
292,Linear Regression,0.21495227444126988
293,Linear Regression,0.29596181877371724
294,Linear Regression,0.25084254518967863
295,Linear Regression,0.10251424542513479
296,Linear Regression,0.18874099261333604
297,Linear Regression,0.17269455528632302
298,Linear Regression,0.1984044294808645
299,Linear Regression,0.171059931630907
