,rf_RMSE,rf_MSE,lr_RMSE,lr_MSE,hyperparams,Time
0,0.3608918004988369,0.13024289166729228,0.7132142708626424,0.5086745961621306,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",184.48651933670044
1,0.3227083109706927,0.1041406539695573,0.42287412603957386,0.1788225264737334,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",184.56450748443604
2,0.2929907934476245,0.08584360504506856,0.4132390976790832,0.17076655185062287,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 300}",186.86408853530884
3,0.2644644918361552,0.0699414674421558,0.5254950524255134,0.2761450501236931,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",186.45229601860046
4,0.29604093598619774,0.08764023577958402,0.5689741078012913,0.3237315353482755,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",184.76262950897217
5,0.3360406568266811,0.11292332304050727,0.5460215561731392,0.29813953980573654,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 1200}",189.10824632644653
6,0.371529311094456,0.1380340290023211,0.5707885296195855,0.32579954554528845,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",187.08174109458923
7,0.35719266084613865,0.12758659696234462,0.5214262425524173,0.2718853264223323,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 300}",187.687926530838
8,0.32594585066068815,0.10624069756291961,0.7130387024363012,0.5084241911720441,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",186.66087579727173
9,0.23017101878732213,0.0529786978895938,0.771902097555766,0.5958328482109914,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 1200}",189.15143871307373
10,0.30293576124917154,0.09177007544361505,0.7726712195523722,0.5970208135245502,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",186.48842406272888
11,0.37003162050535165,0.13692340017381657,0.6111308085754916,0.37348086519013424,"{'max_depth': 48, 'max_features': 'sqrt', 'n_estimators': 100}",187.2788064479828
12,0.302242844471797,0.09135073703440288,0.5309489385920799,0.2819067753920562,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",186.27155923843384
13,0.29765810625739975,0.08860034822074148,0.6510213098863646,0.42382874592615805,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 1200}",189.73554372787476
14,0.3490805583630994,0.12185723622709325,0.5838328223758672,0.34086076448337094,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 1200}",189.03114461898804
15,0.32563768111042546,0.10603989935897513,0.47055531990860666,0.22142230909429114,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",187.2009973526001
16,0.31953021142184024,0.10209955601128591,0.53218035884836,0.28321593434396924,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 1200}",188.7860565185547
17,0.332310957802536,0.11043057267563887,0.6021797950747272,0.36262050559624043,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",187.57888865470886
18,0.32214770580745794,0.10377914435700845,0.48024146929868855,0.23063186883416323,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",186.28247833251953
19,0.35159113194176267,0.12361632406008997,0.5471376294119641,0.29935958551854375,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 600}",188.1531479358673
20,0.3927481770631991,0.154251130586466,0.7220967291592878,0.5214236862625418,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 300}",186.65712523460388
21,0.28462064920607194,0.08100891395448585,0.44609469334227264,0.19900047542813626,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 600}",187.82193994522095
22,0.3536876119443934,0.1250949268429278,0.4721742472932407,0.22294851980693844,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 100}",185.77980756759644
23,0.2956808495135785,0.08742716476907143,0.4796617887633389,0.23007543159964597,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 300}",187.4177405834198
24,0.23512804013133498,0.05528519525600267,0.631064861787843,0.3982428597833095,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 300}",187.00948309898376
25,0.3201256611022434,0.10248043889614838,0.43769869882163026,0.19158015095014821,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 600}",187.182701587677
26,0.20512131954091842,0.04207475573020756,0.26371177775360705,0.06954390172596785,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 600}",187.26456427574158
27,0.24783820370590745,0.06142377521617088,0.29589555328001,0.08755417845088324,"{'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 600}",187.42861008644104
28,0.2233417816917481,0.049881551449244464,0.8236006894707806,0.6783180956967452,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 300}",187.52194213867188
29,0.3158068603492483,0.09973397304364962,0.5568224548795783,0.3100512462581199,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 1200}",189.34148645401
30,0.2963744916305223,0.08783783928925055,0.5088351230210082,0.2589131824198045,"{'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 300}",187.67593812942505
31,0.38022834966903024,0.14457359789203433,0.5169344250334628,0.2672211997846768,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 100}",186.54896330833435
32,0.4111495682161063,0.16904396744429065,0.48670242337190966,0.23687924891608958,"{'max_depth': 12, 'max_features': 'sqrt', 'n_estimators': 600}",187.36687803268433
